reference_code,candidate_dois_json,doi_links_json,lookup_status,training_molecules,record_ids_json
1981TEK/MAJ,[],[],possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline2893"",""rdr250199#csvline2894"",""rdr250199#csvline2895"",""rdr250199#csvline2896"",""rdr250199#csvline2897"",""rdr250199#csvline2898"",""rdr250199#csvline4206"",""rdr250199#csvline4207"",""rdr250199#csvline4208"",""rdr250199#csvline4209"",""rdr250199#csvline4210"",""rdr250199#csvline4211"",""rdr250199#csvline5946"",""rdr250199#csvline5947"",""rdr250199#csvline5948"",""rdr250199#csvline5949"",""rdr250199#csvline5950""]"
1982FUR/SAK,[],[],possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline11059"",""rdr250199#csvline5546"",""rdr250199#csvline8422""]"
1982SVO/CHA,[],[],possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline8293"",""rdr250199#csvline8294"",""rdr250199#csvline8295"",""rdr250199#csvline8723"",""rdr250199#csvline8724"",""rdr250199#csvline8725"",""rdr250199#csvline8726"",""rdr250199#csvline8727"",""rdr250199#csvline9058"",""rdr250199#csvline9059"",""rdr250199#csvline9060"",""rdr250199#csvline9061"",""rdr250199#csvline9062"",""rdr250199#csvline9063""]"
1985KUS,[],[],possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline1220"",""rdr250199#csvline3335"",""rdr250199#csvline3346""]"
1988DON/LIN,[],[],possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline1130"",""rdr250199#csvline1131"",""rdr250199#csvline1132"",""rdr250199#csvline1133"",""rdr250199#csvline1134"",""rdr250199#csvline5047"",""rdr250199#csvline5048"",""rdr250199#csvline5049"",""rdr250199#csvline5050"",""rdr250199#csvline5051"",""rdr250199#csvline5052"",""rdr250199#csvline5538"",""rdr250199#csvline5539"",""rdr250199#csvline5540"",""rdr250199#csvline5541""]"
1988KNA/SAB,[],[],possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline1176"",""rdr250199#csvline1999"",""rdr250199#csvline3228""]"
1989AN/HU,[],[],possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline1639"",""rdr250199#csvline2647"",""rdr250199#csvline921""]"
1990KNA/SAB2,[],[],possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline1176"",""rdr250199#csvline1999"",""rdr250199#csvline3228""]"
2007PAS/KUZ,[],[],possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline11597"",""rdr250199#csvline6012"",""rdr250199#csvline9993""]"
2014VER/EME,"[""10.1016/j.fluid.2014.07.029""]","[""https://doi.org/10.1016/j.fluid.2014.07.029""]",possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline4955"",""rdr250199#csvline6784"",""rdr250199#csvline6798""]"
1901KAH2,[],[],possible bibliographic match only; verify primary reference,2,"[""rdr250199#csvline3602"",""rdr250199#csvline866""]"
1940PIT,[],[],possible bibliographic match only; verify primary reference,2,"[""rdr250199#csvline7689"",""rdr250199#csvline9072""]"
1970KUS/WAD,[],[],possible bibliographic match only; verify primary reference,2,"[""rdr250199#csvline4156"",""rdr250199#csvline8926""]"
1972LAY/WAD,[],[],possible bibliographic match only; verify primary reference,2,"[""rdr250199#csvline745"",""rdr250199#csvline807""]"
